GPS_LAT,GPS_LON,INS_LAT,INS_LON,INS_V,INS_ROLL,INS_PITCH,INS_YAW,FUS_LAT,FUS_LON,FUS_V,FUS_ROLL,FUS_PITCH,FUS_YAW,
60.18460798,24.82717026,60.1846079,24.82717117,0.1044572345,0,-0,279.9164,60.1846079,24.82717117,0.1044572349,0,0,279.9164,
60.18460798,24.82717026,60.1846079,24.82717121,0.1061981642,0,-0,279.9164,60.1846079,24.82717121,0.1061981645,0,0,279.9164,
60.18460798,24.82717026,60.18460789,24.82717126,0.1079390941,0,-0,279.9164,60.18460789,24.82717126,0.1079390944,0,0,279.9164,
60.18460798,24.82717026,60.18460789,24.8271713,0.1094197971,0,-0,279.9164,60.18460789,24.8271713,0.1094197974,0,0,279.9164,
60.18460798,24.82717026,60.18460789,24.82717135,0.1106402729,0,-0,279.9094,60.18460789,24.82717135,0.1106402732,0,0,279.9094,
60.18460798,24.82717026,60.18460788,24.82717139,0.1118607492,0,-0,279.9094,60.18460788,24.82717139,0.1118607495,0,0,279.9094,
60.18460798,24.82717026,60.18460788,24.82717144,0.1130812257,0,-0,279.9094,60.18460788,24.82717144,0.1130812261,0,0,279.9094,
60.18460798,24.82717026,60.18460787,24.82717148,0.1143017026,0,-0,279.9094,60.18460787,24.82717148,0.1143017029,0,0,279.9094,
60.18460798,24.82717026,60.18460787,24.82717153,0.1155221796,0,-0,279.9094,60.18460787,24.82717153,0.1155221799,0,0,279.9094,
60.18460798,24.82717026,60.18460787,24.82717158,0.1167426594,0,-0,279.9495,60.18460787,24.82717158,0.1167426597,0,0,279.9495,
60.18460798,24.82717026,60.18460786,24.82717163,0.1188824553,0,-0,279.9495,60.18460786,24.82717163,0.1188824556,0,0,279.9495,
60.18460798,24.82717026,60.18460786,24.82717167,0.1219415696,0,-0,279.9495,60.18460786,24.82717167,0.1219415699,0,0,279.9495,
60.18460798,24.82717026,60.18460785,24.82717172,0.1250006844,0,-0,279.9495,60.18460785,24.82717172,0.1250006848,0,0,279.9495,
60.18460798,24.82717026,60.18460785,24.82717178,0.1280597999,0,-0,279.9495,60.18460785,24.82717178,0.1280598002,0,0,279.9495,
